"","ensgene","name","module","mm"
"144","uc010obn.2","uc010obn.2","saddlebrown",0.212067888889934
"145","uc001awz.3","uc001awz.3","darkgrey",0.193094452554659
"146","uc010obo.2","uc010obo.2","cyan",0.30688309262822
"147","uc001axb.1","uc001axb.1","salmon",0.108774200921157
"148","uc001axj.2","uc001axj.2","darkgrey",0.230208387919276
"149","uc001axk.1","uc001axk.1","brown",0.227486264658308
"150","uc001axl.4","uc001axl.4","lightgreen",0.176610000489666
"151","uc001axn.3","uc001axn.3","saddlebrown",0.274578166880113
"152","uc001axz.4","uc001axz.4","lightyellow",0.144246161874886
"153","uc001ayd.3","uc001ayd.3","darkmagenta",0.171500543310747
"154","uc001ayf.3","uc001ayf.3","lightyellow",0.144848791723694
"155","uc001ayg.3","uc001ayg.3","greenyellow",0.273075479323668
"156","uc001ayh.3","uc001ayh.3","orangered4",0.219088016198153
"157","uc001aym.5","uc001aym.5","saddlebrown",0.215363567399387
"158","uc001ayo.3","uc001ayo.3","darkgrey",0.225988799943117
"159","uc001ayt.2","uc001ayt.2","blue",0.195595214381719
"160","uc001ayv.2","uc001ayv.2","turquoise",0.122053161463091
"161","uc001ayw.4","uc001ayw.4","black",0.140670219496444
"162","uc001aze.3","uc001aze.3","lightyellow",0.112706412055834
"163","uc021ogv.1","uc021ogv.1","purple",0.190728304230369
"164","uc001azj.1","uc001azj.1","purple",0.233687961109817
"165","uc001azs.1","uc001azs.1","greenyellow",0.202061263314203
"166","uc001azu.2","uc001azu.2","lightyellow",0.13719696387371
"167","uc001baa.2","uc001baa.2","greenyellow",0.158583808587272
"168","uc001bae.3","uc001bae.3","turquoise",0.38754814932023
"169","uc001baf.3","uc001baf.3","lightgreen",0.536902865393104
"170","uc001bal.3","uc001bal.3","cyan",0.153728044451427
"171","uc031pli.1","uc031pli.1","plum1",0.149492265429392
"172","uc001bau.2","uc001bau.2","lightcyan",0.315336856758381
"173","uc001baw.1","uc001baw.1","lightcyan",0.196606122282993
"174","uc001bbd.2","uc001bbd.2","purple",0.37795140569303
"175","uc001bbg.3","uc001bbg.3","paleturquoise",0.0997527899309055
"176","uc001bbm.1","uc001bbm.1","skyblue",0.0844954925262564
"177","uc001bbn.4","uc001bbn.4","saddlebrown",0.103526697720039
"178","uc001bbs.3","uc001bbs.3","skyblue",0.146491046778628
"179","uc021ohp.1","uc021ohp.1","salmon",0.27496664281801
"180","uc001bbw.3","uc001bbw.3","turquoise",0.257787287962443
"181","uc001bce.3","uc001bce.3","red",0.275008869468091
"182","uc001bcf.2","uc001bcf.2","paleturquoise",0.152582574847892
"183","uc021ohs.1","uc021ohs.1","orangered4",0.189783989372857
"184","uc001bci.2","uc001bci.2","darkgrey",0.246663284984005
"185","uc021ohx.2","uc021ohx.2","saddlebrown",0.126424948019433
"186","uc001bck.3","uc001bck.3","white",0.493055537173721
"187","uc001bcs.4","uc001bcs.4","tan",0.272128196387127
"188","uc001bdb.3","uc001bdb.3","greenyellow",0.354446388689059
"189","uc001bdh.3","uc001bdh.3","darkmagenta",0.286923910546582
"190","uc001bdi.4","uc001bdi.4","lightgreen",0.193207777169427
"191","uc001bdj.3","uc001bdj.3","lightcyan",0.383431548375684
"192","uc001bdm.3","uc001bdm.3","steelblue",0.383548918301214
"193","uc001bdn.3","uc001bdn.3","pink",0.216361506852977
"194","uc001bdo.1","uc001bdo.1","turquoise",0.237243873789529
"195","uc001bdp.4","uc001bdp.4","lightcyan",0.343136267108846
"196","uc001bdu.1","uc001bdu.1","greenyellow",0.25991824666084
"197","uc001bdv.1","uc001bdv.1","lightyellow",0.219967452160184
"198","uc010odh.1","uc010odh.1","orangered4",0.266872242439751
"199","uc001bea.2","uc001bea.2","grey60",0.173642062922106
"200","uc001bec.3","uc001bec.3","skyblue",0.143154416572013
"201","uc001bem.2","uc001bem.2","orangered4",0.272913583030742
"202","uc001ben.1","uc001ben.1","lightyellow",0.150875239167347
"203","uc001bep.1","uc001bep.1","skyblue",0.157335157184272
"204","uc001bes.4","uc001bes.4","darkmagenta",0.12310235965435
"205","uc001bet.3","uc001bet.3","darkmagenta",0.258248744617966
"206","uc001bev.3","uc001bev.3","midnightblue",0.592545125443041
"207","uc001bfa.3","uc001bfa.3","magenta",0.205403028623615
"208","uc001bfn.4","uc001bfn.4","skyblue",0.149426688223979
"209","uc001bfp.3","uc001bfp.3","grey60",0.263192409777224
"210","uc001bfq.3","uc001bfq.3","skyblue3",0.181935899096041
"211","uc001bfr.3","uc001bfr.3","red",0.406394241863771
